pollution_2023,pollution_growth_rate,country_name,ccn3,country_region,country_land_area_in_km,pollution_density_in_km,pollution_density_per_mile,pollution_rank,mostpollutedcountries_particlepollution
1428627663,0.00808,India,356,Asia,2973190,480.5033,1244.5036,1,58.08
1425671352,-0.00015,China,156,Asia,9424702.9,151.2696,391.7884,2,39.12
339996563,0.00505,United States,840,North America,9147420,37.1686,96.2666,3,9.04
277534122,0.00738,Indonesia,360,Asia,1877519,147.8196,382.8528,4,51.71
240485658,0.01976,Pakistan,586,Asia,770880,311.9625,807.9829,5,65.81
223804632,0.02408,Nigeria,566,Africa,910770,245.7312,636.4439,6,21.4
216422446,0.00515,Brazil,76,South America,8358140,25.8936,67.0645,7,15.77
172954319,0.01033,Bangladesh,50,Asia,130170,1328.6803,3441.2821,8,83.3
144444359,-0.00186,Russia,643,Europe,16376870,8.82,22.8439,9,9.85
128455567,0.00746,Mexico,484,North America,1943950,66.0797,171.1463,10,20.02
126527060,0.02551,Ethiopia,231,Africa,1128571.3,112.1126,290.3716,11,20.1
123294513,-0.0053,Japan,392,Asia,364500,338.2566,876.0845,12,11.36
117337368,0.01539,Philippines,608,Asia,298170,393.5251,1019.2299,13,17.63
112716598,0.01556,Egypt,818,Africa,995450,113.2318,293.2704,14,18
102262808,0.03285,DR Congo,180,Africa,2267050,45.1083,116.8305,15,32.1
98858950,0.00685,Vietnam,704,Asia,313429,315.411,816.9145,16,34.06
89172767,0.00703,Iran,364,Asia,1622500,54.9601,142.3467,17,24.27
85816199,0.00557,Turkey,792,Asia,783562,109.5206,283.6584,18,20.62
83294633,-0.0009,Germany,276,Europe,349390,238.4002,617.4564,19,11.01
71801279,0.00145,Thailand,764,Asia,510890,140.5416,364.0026,20,24.25
67736802,0.00338,United Kingdom,826,Europe,241930,279.9851,725.1615,21,10.53
64756584,0.00201,France,250,Europe,547557,118.2646,306.3052,23,12.34
60414495,0.00869,South Africa,710,Africa,1213090,49.8022,128.9876,24,21.56
58870762,-0.00282,Italy,380,Europe,295717,199.078,515.6121,25,17.09
54577997,0.00736,Myanmar,104,Asia,652670,83.6227,216.5827,27,31
52085168,0.00407,Colombia,170,South America,1109500,46.9447,121.5868,28,14.61
51784059,-0.00061,South Korea,410,Asia,97600,530.5744,1374.1876,29,24.78
48582334,0.02821,Uganda,800,Africa,200520,242.2817,627.5097,30,29.1
47519628,-0.00082,Spain,724,Europe,499556.6,95.1236,246.3702,32,9.74
45773884,0.00579,Argentina,32,South America,2736690,16.726,43.3203,33,14.6
45606480,0.01566,Algeria,12,Africa,2381741,19.1484,49.5943,34,21.2
45504560,0.02266,Iraq,368,Asia,434128,104.8183,271.4794,35,39.6
42239854,0.02702,Afghanistan,4,Asia,652230,64.7622,167.7341,36,58.8
41026067,0.02933,Poland,616,Europe,306130,134.0152,347.0993,37,18.67
38781291,0.0085,Canada,124,North America,8965590,4.3256,11.2032,38,7.72
36947025,0.01478,Saudi Arabia,682,Asia,2149690,17.1871,44.5147,40,22.5
36744634,-0.07448,Ukraine,804,Europe,579400,63.4184,164.2537,41,16.6
36684202,0.03077,Angola,24,Africa,1246700,29.425,76.2109,42,15.9
35163944,0.01549,Uzbekistan,860,Asia,440650,79.8002,206.6824,43,41.2
34352719,0.0089,Peru,604,South America,1280000,26.8381,69.5106,45,23.38
34308525,0.01091,Malaysia,458,Asia,328550,104.4241,270.4583,46,19.36
